,Case diameter,Dial,Code,Ref. No.,"Date, GMT",Gender,Brand,Dial numerals,Availability,Clasp,"Chronometer, Helium Valve",Case material,Location,url,Price,Condition,Movement
,33 mm,,581.NX.2611.RX,581.NX.2611.RX,,Ladies' watch,Hublot,,On request,Fold clasp,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-33mm-quartz-titanium-mens-watch-ref-581nx2611rx--id5269261.htm,"$3,690",0 (unworn),
With papers,41 mm,,341.PE.230.RW.114,341.PE.230.RW.114,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-41mm-automatic-18k-rose-gold-mens-watch-ref-341pe230rw114--id5269065.htm,"$24,566",0 (unworn),
,51 mm,,601.NX.0173.LR.1704,601.NX.0173.LR.1704,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/spirit-of-big-bang--51mm-automatic-titanium-mens-watch-ref-601nx0173lr1704--id5269489.htm,"$30,200",0 (unworn),
With papers,41 x 51 mm,Black,8342,341.CY.1110.LR.1911,,,Hublot,Arabic numerals,On request,Fold clasp,,Ceramic,"United States, New York, New York",http://www.chrono24.com/hublot/big-bang-tutti-frutti-lemon-black-dial-41mm-ref-341cy1110lr1911--id2661471.htm,price on request,0 (unworn),Automatic
,41 mm,,341.PX.1280.VR.1104,341.PX.1280.VR.1104,,Ladies' watch,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-41mm-automatic-18k-rose-gold-mens-watch-ref-341px1280vr1104--id5269497.htm,"$26,057",0 (unworn),
With papers,44 mm,,301.PM.1780.RX,301.PM.1780.RX,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-44mm-automatic-18k-rose-gold-mens-watch-ref-301pm1780rx--id5268506.htm,"$21,280",0 (unworn),
With box,41 mm,White,381304318317,341.PG.2010.LR.1922,,,Hublot,,On request,,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-41mm-mid-size-gold-tutti-frutti-41mm-ref-341pg2010lr1922--id4621021.htm,"$29,500",0 (unworn),Automatic
With box,41 mm,Black,381534463695,341.SV.9090.PR.0901,,Ladies' watch,Hublot,,On request,,,Steel,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-41mm-ladies-black-fluo-stainless-steel-and-diamonds-ref-341sv9090pr0901--id5609796.htm,"$20,100",0 (unworn),Automatic
,33 mm,,581.OX.1181.RX.1104,581.OX.1181.RX.1104,,Ladies' watch,Hublot,,On request,Fold clasp,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-33mm-quartz-titanium-and-diamonds-mens-watch-ref-581ox1181rx1104--id5268482.htm,"$13,200",0 (unworn),
With box,48 mm,Transparent,401063818633,701.CI.0170.RX,,Men's watch/Unisex,Hublot,,On request,,,Ceramic,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-king-power-48mm-mens-unico-black-magic-48mm-ceramic-watch-ref-701ci0170rx--id4509036.htm,"$16,320",0 (unworn),Automatic
With papers,40 mm,Black,2849,1810.1.054,,,Hublot,,On request,Fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/hublot/classic-chronograph-factory-diamond-dial-ref-18101054--id2837316.htm,price on request,1 (mint),Automatic
With box,45 mm,Black,381534470231,411.NM.1170.RX,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-45-mm-mens-titanium-ceramic-automatic-watch-ref-411nm1170rx--id5466832.htm,"$15,290",0 (unworn),Automatic
With papers,41 mm,,346.PX.0880.VR,346.PX.0880.VR,,Ladies' watch,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-caviar-41mm-automatic-18k-rose-gold-mens-watch-ref-346px0880vr--id5269273.htm,"$21,590",0 (unworn),
,45 mm,,516.OX.1480.LR.1704,516.OX.1480.LR.1704,,Men's watch/Unisex,Hublot,,On request,,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-45mm-hand-wind-18k-rose-gold-mens-watch-ref-516ox1480lr1704--id5268831.htm,"$31,570",0 (unworn),
,45 mm,,525.OX.0180.LR.1904,525.OX.0180.LR.1904,,Men's watch/Unisex,Hublot,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-45mm-automatic-18k-king-gold-mens-watch-ref-525ox0180lr1904--id5269305.htm,"$50,330",0 (unworn),
,45 mm,,411.MX.1138.RX,411.MX.1138.RX,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-unico-45mm-automatic-18kt-magic-gold-mens-watch-ref-411mx1138rx--id5268855.htm,"$23,950",0 (unworn),
,45 mm,,511.NX.9010.LR.1704,511.NX.9010.LR.1704,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-45mm-automatic-titanium-mens-watch-ref-511nx9010lr1704--id5269289.htm,"$27,860",0 (unworn),
