,Clasp material,Ref. No.,Bracelet color,url,Gender,Brand,Bracelet material,Availability,Clasp,Case material,Location,Year,Price,Condition,Movement
With papers,,WAV5112.BA0901,Steel,http://www.chrono24.com/tagheuer/grand-carrera-automatik--id4865909.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,CAN1011.BA0821,Steel,http://www.chrono24.com/tagheuer/aquaracer-quarz-chronograph--id4865581.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Quartz
With papers,,CV201AG.FC6266,,http://www.chrono24.com/tagheuer/carrera-calibre-16-day-date-automatik-chronograph-41-mm--id4865725.htm,,TAG Heuer,Crocodile skin,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,WAS2112.FC6181,,http://www.chrono24.com/tagheuer/carrera-calibre-6-heritage-automatik-39mm--id4865830.htm,,TAG Heuer,Crocodile skin,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,CAR2A1Z.FT6050,,http://www.chrono24.com/tagheuer/carrera-calibre-heuer-01-automatik-chronograph-45mm--id4865693.htm,,TAG Heuer,Rubber,On request,Fold clasp,,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,Titanium,CAY218B.FC6370 - TAG Heuer Aquaracer Chronograph Black Dial,Black,http://www.chrono24.com/tagheuer/tag-heuer-aquaracer-black-phantom-chronograph-300m--id3609326.htm,,TAG Heuer,Textile,On request,Fold clasp,Titanium,"Italy, VICENZA - VI",,price on request,0 (unworn),Automatic
With papers,,SAR8A80.FT6045,,http://www.chrono24.com/tagheuer/connected--id4865631.htm,,TAG Heuer,Rubber,On request,Fold clasp,Titanium,"Germany, Bamberg",,,0 (unworn),
With papers,,CAY1111.BA0925,Steel,http://www.chrono24.com/tagheuer/aquaracer-300m-quarz-chronograph-43mm--id4865615.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Quartz
With papers,,WAY2113.BA0910,Steel,http://www.chrono24.com/tagheuer/aquaracer-calibre-5-automatik-405mm--id4865655.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,WAY2111-BA0910,Steel,http://www.chrono24.com/tagheuer/aquaracer-calibre-5-automatik-405mm--id4865663.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,CAR2114.BA0724,Steel,http://www.chrono24.com/tagheuer/carrera-calibre-1887-heritage-automatik-chronograph-41-mm--id4865743.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,WAT201B.BA0951,Steel,http://www.chrono24.com/tagheuer/link-calibre-7-gmt--id4865599.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,WAZ211A.BA0875,Steel,http://www.chrono24.com/tagheuer/formula-1-calibre-7-automatik-41mm--id4865696.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,CAV511B.FC6231,,http://www.chrono24.com/tagheuer/grand-carrera-automatik-chronograph--id4865570.htm,,TAG Heuer,Crocodile skin,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,CAZ2012.BA0876,Steel,http://www.chrono24.com/tagheuer/formula-1-calibre-16-automatik-chronograph-44mm--id4865712.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,WV211B-2,Steel,http://www.chrono24.com/tagheuer/carrera-calibre-5--id4510751.htm,Men's watch/Unisex,TAG Heuer,Steel,On request,,Steel,"United Kingdom, London",2008,,2 (fine),Automatic
With papers,,WAV511A.BA0900,Steel,http://www.chrono24.com/tagheuer/grand-carrera-automatik--id4865912.htm,,TAG Heuer,Steel,On request,Fold clasp,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,WAR211C.FC6336,,http://www.chrono24.com/tagheuer/carrera-calibre-5-automatik-39mm--id4865821.htm,,TAG Heuer,Crocodile skin,On request,,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
